run_id,run_config,llm,modeling_tool,test_pass,test_total
109187122994183291991895859568565501038,CDSA,deepseek-chat,umple,6,12
113819458706639742476186632296590067963,CDSFG,deepseek-chat,ecore,11,12
117740369177080752773281408435201942434,CDSAG,deepseek-chat,umple,11,12
119857929552697888751253638847559679209,CSA,deepseek-chat,ecore,6,12
122743314096764451004724698414660034734,CDSA,deepseek-chat,ecore,11,12
127672478816586250561337922078466214932,CDSFG,deepseek-chat,umple,11,12
128817252385074972957385350283588689672,CFG,deepseek-chat,umple,7,12
138378567039921234506395027705062126649,CDG,deepseek-chat,umple,11,12
141898822934218298556269784615919644673,CDFG,deepseek-chat,umple,12,12
142785358606660650053934258213212070554,CG,deepseek-chat,umple,5,12
144180831397733808754898385730343656073,CDG,deepseek-chat,ecore,10,12
144862617542091605360913024572352036147,CDS,deepseek-chat,umple,6,12
158958932341406916290178313541973387140,CDS,deepseek-chat,ecore,6,12
173634976620702466463737793790926160091,CSFG,deepseek-chat,umple,11,12
176987396417432404800551955721002192777,CDSG,deepseek-chat,ecore,11,12
189126779265396936289754643557408167343,CDAG,deepseek-chat,umple,12,12
189952306481445179107196233206662552105,CDA,deepseek-chat,ecore,11,12
200807879892566899121456643330003506185,C,deepseek-chat,umple,6,12
200967217207380403448688477471074858009,CD,deepseek-chat,ecore,3,12
214167460590409404726123740049582860256,CG,deepseek-chat,ecore,10,12
231051937813027672478078708101778688477,CA,deepseek-chat,ecore,7,12
238093868905275739266354175426234202702,CDSAG,deepseek-chat,ecore,11,12
249362493311130614090994812610322331502,CDFG,deepseek-chat,ecore,11,12
258122602585157474151835879949631782372,CSG,deepseek-chat,ecore,11,12
267674288142328917444687588282090285817,C,deepseek-chat,ecore,6,12
282468270799340855051595851182418485362,CSG,deepseek-chat,umple,11,12
288319156873068471259016620114868588970,CSA,deepseek-chat,umple,6,12
303755030737392750433159005063612441671,CDSG,deepseek-chat,umple,11,12
316315852618161813236041580558462769557,CSFG,deepseek-chat,ecore,11,12
316821479124150723345544766276375024290,CA,deepseek-chat,umple,6,12
339383152222757842234679233002796647677,CD,deepseek-chat,umple,3,12
39368029318671558518142605986308055184,CFG,deepseek-chat,ecore,8,12
41929276215447854182161092266006968251,CS,deepseek-chat,umple,6,12
51777758904311374097174860485446728371,CAG,deepseek-chat,ecore,7,12
5550873422951434572883759891333096601,CDAG,deepseek-chat,ecore,11,12
66710593724193210123376626750861110310,CDA,deepseek-chat,umple,2,12
7496928799124545637482999078011739902,CSAG,deepseek-chat,ecore,11,12
85161771517122394467727179338572467780,CS,deepseek-chat,ecore,6,12
94659005648476488580617112950804447937,CSAG,deepseek-chat,umple,11,12
95021478544708420130270508410453833608,CAG,deepseek-chat,umple,7,12
118603665967041749403780306407251445086,CDSAG,gpt-4o,ecore,11,12
126139439788141060606802733836538355938,CS,gpt-4o,ecore,6,12
127218337845136821311609764383706045349,CDSA,gpt-4o,umple,6,12
139886407309823681928789179730504271537,CFG,gpt-4o,umple,8,12
140277354675374134471680459011845410551,CS,gpt-4o,umple,6,12
149269474399955047192549871286906827270,CDG,gpt-4o,umple,11,12
152278818570228846832039295062405823674,CDAG,gpt-4o,umple,9,12
15676394216489218353579545130244459246,CSFG,gpt-4o,umple,12,12
176049104734808852108062469237954727621,CG,gpt-4o,umple,8,12
17757727426650308270576473918905907570,CSA,gpt-4o,umple,6,12
178913267428923133582604406840182898102,CA,gpt-4o,umple,6,12
198817297816344137819743791680945357719,CDSG,gpt-4o,ecore,11,12
199410879857901600413242234351615257544,CD,gpt-4o,ecore,6,12
210030120317978143455615252357482591722,CDS,gpt-4o,ecore,6,12
211442567707762789457133240141756795516,CG,gpt-4o,ecore,7,12
213729726091257605297219882764903060209,CSG,gpt-4o,ecore,11,12
214120592160142027039917343880968134927,CDSFG,gpt-4o,ecore,11,12
222742365106889833595865760141995911957,C,gpt-4o,umple,0,12
227480630350595315747821833703131175402,CSA,gpt-4o,ecore,6,12
241861173639414741381185336470251905437,CDSFG,gpt-4o,umple,12,12
242975651179216761106361917589547949238,CAG,gpt-4o,ecore,7,12
24746097541907855330368335250708445072,CDSA,gpt-4o,ecore,11,12
254384587839810930091261472427094227995,CFG,gpt-4o,ecore,7,12
278776948015234544478751584058435695385,CSG,gpt-4o,umple,11,12
286934503427805879203423302028993427506,CDG,gpt-4o,ecore,10,12
293164189497458126693488517708234617833,C,gpt-4o,ecore,0,12
300045864635258916199877282360708038731,CDFG,gpt-4o,umple,12,12
306814138281904694781259054964777369320,CDA,gpt-4o,ecore,10,12
311443438691498743950010674611972270643,CDSG,gpt-4o,umple,12,12
316738803938440149644229686571986348825,CDFG,gpt-4o,ecore,10,12
326659893890355486631088844426370291311,CD,gpt-4o,umple,0,12
337774982074816082435816976659924443716,CA,gpt-4o,ecore,7,12
38283722549585491852672717834243824043,CAG,gpt-4o,umple,8,12
40164263412963469361276404600652018801,CDSAG,gpt-4o,umple,12,12
47664233601718694374938762492850840638,CSAG,gpt-4o,ecore,11,12
54614379726732512073073721116414259545,CDS,gpt-4o,umple,6,12
57581159903974306118873025136613400835,CDAG,gpt-4o,ecore,10,12
60175727683938301133072680336216517613,CSAG,gpt-4o,umple,12,12
62213536611356750828151166686863328897,CDA,gpt-4o,umple,6,12
75774537166998874849022940472500981122,CSFG,gpt-4o,ecore,11,12
101727239612996738897923772345817153516,CSAG,gpt-4o-mini,umple,12,12
105129130432902314148725306599701362934,CSA,gpt-4o-mini,umple,6,12
111891217328024544405644570923295513264,CA,gpt-4o-mini,umple,6,12
113411763172207229855201363001870667479,CDSAG,gpt-4o-mini,umple,8,12
118569608729396786224889419214814440818,CDA,gpt-4o-mini,umple,6,12
124632164157767066782564554685032290445,CD,gpt-4o-mini,umple,6,12
126106026690185729694695646858803868091,CDAG,gpt-4o-mini,umple,12,12
144761489828835761756403236708599470337,CFG,gpt-4o-mini,ecore,8,12
148534277247917056586881588304992655697,CDS,gpt-4o-mini,ecore,6,12
15754870858644334935087872916784426427,CDFG,gpt-4o-mini,ecore,8,12
163162882907082297430854791469213862332,C,gpt-4o-mini,ecore,6,12
163601088742878298622357248526642964992,CD,gpt-4o-mini,ecore,6,12
172299797500011644845250916673757779336,CSAG,gpt-4o-mini,ecore,11,12
218496309542716616912444444714206035016,CDA,gpt-4o-mini,ecore,10,12
219204353443094478711757960006054521294,CS,gpt-4o-mini,ecore,6,12
22335852833147581226918217198547332319,CDSFG,gpt-4o-mini,umple,12,12
224930933827193325095830072270987604742,CDSA,gpt-4o-mini,ecore,11,12
234807185538604473425267064179483234965,CDFG,gpt-4o-mini,umple,12,12
259572405504873685709803460396619225196,CG,gpt-4o-mini,ecore,7,12
267306909733769408620812185819718319578,CSFG,gpt-4o-mini,umple,12,12
269892971239029718149399553043200141902,CDSFG,gpt-4o-mini,ecore,11,12
275798774463010431728368323233372092574,CAG,gpt-4o-mini,ecore,7,12
280367567057643065884433357464412747682,CDSAG,gpt-4o-mini,ecore,11,12
284997125915464509604234140991917280208,C,gpt-4o-mini,umple,6,12
288190837462180211814445612708456452539,CG,gpt-4o-mini,umple,8,12
290389067099686929743768328655787588697,CDSG,gpt-4o-mini,ecore,11,12
303606973851229738608177227037940576554,CSG,gpt-4o-mini,umple,11,12
307620983013838281044545005760344728701,CDSG,gpt-4o-mini,umple,12,12
31556891946060775653711119953800892748,CSG,gpt-4o-mini,ecore,11,12
321416159683694626247370950288538139684,CDG,gpt-4o-mini,umple,9,12
322937544123712936161562077215121009891,CSA,gpt-4o-mini,ecore,11,12
326331196865235634408297629079348470969,CDS,gpt-4o-mini,umple,6,12
44704687887951061215494967577668815376,CS,gpt-4o-mini,umple,6,12
50053083869258489806888237058237605799,CA,gpt-4o-mini,ecore,7,12
63065094536338742388607369242425102388,CDG,gpt-4o-mini,ecore,10,12
69130400443760969439211506543023218727,CAG,gpt-4o-mini,umple,8,12
7475805997986769456181621070929620442,CSFG,gpt-4o-mini,ecore,11,12
76203684036824971280066779713019685753,CDSA,gpt-4o-mini,umple,6,12
82350894843157879397404692393422705413,CDAG,gpt-4o-mini,ecore,10,12
86832856033349968101197547201278780451,CFG,gpt-4o-mini,umple,8,12
100790575862751645661654285597848903027,CSG,gpt-4.1,ecore,11,12
107677156637882922748747863354938508605,CDFG,gpt-4.1,umple,11,12
108939343699081748737817582382715141701,CSG,gpt-4.1,umple,12,12
109559716086794292625851632770361034307,CA,gpt-4.1,umple,8,12
109968823049222388588104230659440080643,C,gpt-4.1,umple,6,12
128370059056207737874162697355572364676,CDA,gpt-4.1,ecore,6,12
14543224247958387834426936183655578868,CDSA,gpt-4.1,ecore,6,12
153671194220519136499636445514059212518,C,gpt-4.1,ecore,6,12
158043424045508087371614393811901725407,CSAG,gpt-4.1,ecore,11,12
16844228005896406993809072370514394701,CDG,gpt-4.1,umple,11,12
172649657957393281669671769100810939270,CS,gpt-4.1,umple,6,12
18588304855412214028662849236896290116,CDA,gpt-4.1,umple,11,12
191044869856272949231922071003888298455,CS,gpt-4.1,ecore,6,12
192695953266397501539969144727860790286,CDAG,gpt-4.1,ecore,11,12
193957545952703521279802873983464212630,CD,gpt-4.1,umple,11,12
207188190020973883349427042328762675201,CA,gpt-4.1,ecore,7,12
217926408328282896062358338299149681601,CSA,gpt-4.1,ecore,6,12
233984136257918664169320679295527704349,CDAG,gpt-4.1,umple,11,12
24587806823138549365401208141086509127,CSAG,gpt-4.1,umple,12,12
246866791388932011882143946219663176273,CDG,gpt-4.1,ecore,11,12
252117481208668989969276835779171866225,CFG,gpt-4.1,ecore,8,12
252170404463063115518884749810681106266,CDS,gpt-4.1,ecore,6,12
259949210983782304878116054719770094639,CDS,gpt-4.1,umple,6,12
275437692664292796261596661539465576930,CG,gpt-4.1,ecore,7,12
285598987816165261823958577846740592563,CDSFG,gpt-4.1,umple,12,12
29003729536849204300817277322359199206,CDSAG,gpt-4.1,ecore,11,12
301337562626500845365611248437788421263,CDSG,gpt-4.1,ecore,11,12
321423228912379738675230667855153345857,CAG,gpt-4.1,umple,8,12
34340473538741596770286503970919378048,CFG,gpt-4.1,umple,8,12
42893305967934254068747894360514248131,CDFG,gpt-4.1,ecore,11,12
52011097328031517557486419333111555417,CAG,gpt-4.1,ecore,7,12
58738370158856360043554177485697014099,CSFG,gpt-4.1,ecore,11,12
62967757250779668542346303855201757387,CDSA,gpt-4.1,umple,12,12
66059847403307316292964109123130024070,CSA,gpt-4.1,umple,12,12
72926085784394772424941212603268956394,CSFG,gpt-4.1,umple,12,12
80606410794707663379416895964901713001,CD,gpt-4.1,ecore,6,12
80943978099576146059672173906660919830,CDSAG,gpt-4.1,umple,12,12
83966199289590792862100691698198050745,CG,gpt-4.1,umple,5,12
8910538128405125497769105256943484809,CDSG,gpt-4.1,umple,12,12
93398072530014268622860050955830019376,CDSFG,gpt-4.1,ecore,11,12
101749294254398106477297375268914810778,CDA,gpt-4.1-nano,umple,6,12
107441927406534654365080966891099361035,CDFG,gpt-4.1-nano,ecore,7,12
111741481121460482913148667569726216738,CDSFG,gpt-4.1-nano,ecore,11,12
112722334982256235276892435290708168226,CDG,gpt-4.1-nano,umple,9,12
113374992930835035293996228348527525735,CDSA,gpt-4.1-nano,umple,6,12
117179812154184754019644265852287210111,CSFG,gpt-4.1-nano,umple,6,12
136435565355386542684493839386295105844,CS,gpt-4.1-nano,umple,6,12
139264186971823397155811546133540652270,CD,gpt-4.1-nano,ecore,6,12
154838953111153275182422000890933506874,CSG,gpt-4.1-nano,ecore,11,12
160437647744405597197903024318141612403,CSA,gpt-4.1-nano,ecore,6,12
195038072053638583701202746273797135064,CS,gpt-4.1-nano,ecore,6,12
197750273714971831357594545578814441286,CG,gpt-4.1-nano,ecore,7,12
203099835337130008491211696994309918305,CFG,gpt-4.1-nano,umple,6,12
208195293767151970792265681745373022004,CDSA,gpt-4.1-nano,ecore,11,12
